Ship_Size,Engine_Power_kW,Speed_knots,Fuel_Consumption_tonnes_per_hour
Large,43896.29,16.8,110.84
Very Large,79932.92,21.6,517.01
Large,22999.25,19.6,67.59
Small,3205.02,13.5,0.43
Medium,5846.17,17.8,5.2
Medium,8185.09,13.5,5.51
Small,3278.67,13.1,0.43
Small,2443.75,11.5,0.28
Large,31995.83,15.5,74.23
Very Large,68318.09,24.6,503.38
Large,38551.58,18.8,108.86
Very Large,79620.73,20.5,488.82
Large,40409.23,19.5,118.23
Medium,19233.28,19.7,18.97
Medium,10781.25,12.1,6.54
Medium,15263.5,15.5,11.85
Large,38299.9,23.3,134.04
Large,47279.61,17.6,124.73
Very Large,87768.07,24.3,638.55
Medium,13200.65,13.5,8.9
Large,45268.54,19.5,132.39
Medium,18422.41,16.8,15.46
Very Large,66327.04,25.7,511.47
Very Large,52261.36,23.3,364.57
Very Large,87366.01,25.4,665.65
Very Large,67837.67,22.8,464.2
Very Large,63799.96,23.0,439.51
Small,835.48,14.9,0.12
Very Large,69744.08,22.9,479.87
Large,44463.84,22.1,147.19
Large,43705.27,21.1,138.06
Medium,10376.99,12.9,6.71
Large,45501.16,19.5,133.05
Small,786.01,11.6,0.09
Very Large,83296.12,25.9,647.54
Medium,18308.19,15.8,14.44
Small,4872.7,14.2,0.69
Small,3025.75,13.9,0.42
Large,21213.01,22.1,70.34
Medium,5381.29,12.9,3.46
Large,46872.91,19.8,138.89
Small,2788.57,14.5,0.41
Large,38132.52,20.4,116.68
Small,1529.59,10.4,0.16
Large,40843.55,23.8,145.84
Medium,17121.81,17.1,14.61
Medium,11848.02,13.7,8.14
Very Large,94627.95,25.4,720.88
Medium,6831.32,14.9,5.07
Medium,6650.78,13.8,4.6
Medium,5007.81,14.8,3.71
Large,20208.56,20.1,60.95
Small,2681.73,13.5,0.36
Medium,10064.23,19.5,9.83
Medium,8281.46,16.5,6.82
Very Large,68181.48,29.7,607.86
Very Large,62343.8,27.0,504.29
Large,29026.35,17.8,77.71
Small,1700.51,14.9,0.25
Very Large,52573.94,22.8,359.39
Small,3354.58,13.4,0.45
Small,2702.54,14.9,0.4
Very Large,79634.84,20.8,497.13
Very Large,61881.88,27.3,506.48
Very Large,73515.03,29.8,657.98
Medium,13036.62,12.7,8.29
Small,1178.23,12.5,0.15
Very Large,52038.76,25.9,404.48
Large,26607.23,22.1,88.25
Large,26794.87,21.5,86.22
Very Large,97026.16,24.0,697.88
Large,48101.9,16.4,118.15
Very Large,86760.81,22.1,574.98
Large,46320.18,17.6,122.14
Very Large,58747.75,29.8,525.59
Very Large,76482.53,22.4,514.39
Very Large,98270.97,25.6,754.22
Very Large,81655.07,23.4,572.98
Large,41010.73,23.5,144.36
Very Large,94354.32,27.8,786.88
Very Large,92546.42,29.4,815.05
Very Large,94927.71,26.1,742.27
Large,31168.48,24.4,114.08
Small,522.78,10.8,0.06
Medium,12284.21,15.6,9.57
Small,1509.21,13.6,0.2
Small,2722.52,10.9,0.3
Very Large,82481.64,28.5,705.03
Small,1886.27,12.7,0.24
Large,31031.47,17.7,82.17
Medium,13848.06,19.8,13.73
Large,46761.4,21.3,149.48
Medium,10251.18,17.2,8.8
Large,34775.53,17.0,88.43
Small,2746.37,12.9,0.35
Very Large,82273.61,21.8,537.36
Very Large,73497.23,22.8,502.62
Medium,10552.38,12.1,6.4
Very Large,66537.52,25.5,509.56
Large,48908.6,23.5,172.62
Large,29170.91,16.9,73.99
Small,1926.15,10.8,0.21
Small,2276.11,14.2,0.32
Large,37101.84,16.0,88.89
Very Large,83557.18,23.6,591.25
Large,35549.89,23.8,126.77
Small,4319.01,10.7,0.46
Medium,10392.37,14.3,7.46
Large,32593.43,17.6,85.86
Very Large,95662.03,25.1,720.72
Small,3325.52,11.0,0.36
Very Large,85098.34,28.0,713.75
Very Large,94330.86,20.3,573.8
Medium,6409.73,16.6,5.33
Medium,9922.29,13.2,6.57
Medium,9298.12,16.7,7.78
Medium,8753.77,12.3,5.39
Large,30805.72,16.3,75.18
Small,4225.41,11.4,0.48
Very Large,81144.52,20.9,507.64
Small,1374.71,12.1,0.17
Large,39122.9,22.3,130.64
Small,4862.92,13.6,0.66
Large,43855.59,17.7,116.49
Very Large,87202.13,22.5,588.84
Medium,19439.73,18.7,18.16
Small,3598.25,10.3,0.37
Medium,7346.56,14.0,5.14
Medium,6408.1,13.5,4.31
Small,1759.7,14.8,0.26
Large,39713.34,19.4,115.31
Small,2388.2,11.2,0.27
Very Large,57932.32,21.2,368.48
Small,1022.33,10.2,0.1
Small,1901.36,14.9,0.28
Small,2633.78,10.5,0.28
Very Large,90345.65,23.5,635.94
Medium,11507.77,15.2,8.74
Medium,19237.19,19.1,18.37
Very Large,68730.63,26.3,541.43
Medium,12515.6,16.3,10.21
Small,1233.2,10.4,0.13
Large,48327.55,23.7,171.6
Very Large,97011.51,25.8,749.55
Medium,13600.51,13.0,8.86
Small,2955.28,14.7,0.43
Large,44612.81,21.5,143.98
Large,25873.73,15.7,60.91
Large,31317.77,15.4,72.3
Medium,15245.1,12.6,9.58
Very Large,69269.83,26.8,557.26
Medium,17217.03,14.3,12.27
Very Large,84644.52,23.5,596.32
Large,46324.16,22.4,155.31
Small,4854.11,12.7,0.62
Small,3877.77,14.0,0.54
Small,3792.41,10.6,0.4
Small,3993.86,11.7,0.47
Medium,13428.0,13.9,9.34
Large,42526.13,22.5,143.82
Small,2199.78,12.7,0.28
Very Large,91322.87,23.2,635.62
Large,22999.55,15.5,53.59
Small,4574.22,10.5,0.48
Large,48704.03,21.8,159.03
Very Large,78671.89,26.3,621.15
Small,912.67,13.0,0.12
Very Large,83625.92,27.5,690.51
Large,43438.88,16.1,105.13
Small,2724.89,10.3,0.28
Large,21676.13,22.4,72.74
Small,2079.12,10.6,0.22
Very Large,84401.5,28.4,718.33
Small,955.05,10.4,0.1
Small,1501.59,12.0,0.18
Large,41187.27,15.8,97.7
Small,1549.53,12.9,0.2
Small,2167.89,14.1,0.3
Large,47230.81,20.9,148.2
Very Large,68812.98,20.8,430.12
Small,2200.94,13.5,0.3
Medium,18595.32,12.9,11.98
Large,27610.47,19.1,78.91
Medium,5844.55,13.0,3.78
Small,4202.56,13.7,0.58
Large,37501.06,24.6,138.5
Large,34331.45,15.8,81.51
Small,1506.18,14.8,0.22
Very Large,98895.03,25.6,758.33
Large,46734.29,20.3,142.14
Large,47573.47,17.5,125.09
Large,49079.08,20.2,148.94
Small,1475.64,11.5,0.17
Small,3324.01,12.9,0.43
Very Large,86855.04,29.2,759.61
Medium,19256.17,19.1,18.41
Very Large,55337.8,23.4,387.75
Medium,7821.82,15.7,6.14
Medium,8440.92,14.1,5.96
Small,4884.78,14.9,0.73
Medium,5484.74,14.2,3.9
Small,4162.08,13.4,0.56
Small,1099.33,10.4,0.11
Medium,19247.0,17.8,17.14
Large,47575.3,15.8,112.95
Medium,17990.96,12.4,11.12
Large,32337.65,22.8,110.48
Medium,19809.14,13.2,13.08
Small,3873.1,12.0,0.46
Large,45263.57,23.4,158.76
Medium,5552.33,13.1,3.63
Small,753.69,14.3,0.11
Small,2904.56,13.7,0.4
Large,36662.95,22.7,124.78
Small,3906.87,11.9,0.46
Small,2527.45,10.6,0.27
Large,28241.95,17.1,72.32
Small,3522.65,13.1,0.46
Very Large,63433.62,20.2,384.82
Medium,12804.62,18.2,11.64
Large,29233.32,23.2,101.57
Very Large,78046.9,28.8,673.54
Small,3154.8,12.4,0.39
Large,42654.12,21.2,135.66
Medium,17075.67,19.2,16.41
Very Large,50727.23,23.5,357.72
Medium,14549.66,16.4,11.96
Large,47124.76,18.5,130.65
Medium,11763.66,19.3,11.34
Medium,14331.3,18.9,13.54
Small,4084.12,12.3,0.5
Small,2714.52,11.3,0.31
Very Large,52293.06,26.2,411.15
Medium,9931.27,17.1,8.47
Very Large,67078.16,25.4,510.58
Large,23841.38,16.5,59.08
Medium,15465.01,13.4,10.39
Very Large,67283.36,29.0,584.72
Large,35457.08,24.7,131.53
Small,1365.3,10.2,0.14
Small,2052.87,11.7,0.24
Medium,6330.54,13.0,4.1
Small,2101.96,14.5,0.3
Small,2765.38,13.5,0.37
Small,915.31,12.4,0.11
Medium,6226.39,19.0,5.91
Large,31318.58,15.0,70.59
Very Large,90310.06,27.5,744.59
Small,4938.16,12.7,0.63
