Ship_Type,Ship_Size,Fuel_Level_tonnes,Ship_Load_%,Wind_Speed_knots,Precipitation_mm_hr,Wave_Height_m,Storm_Severity,Distance_to_Disaster_km,Adjusted_Speed_knots
Cargo,Medium,53.26,75.0,14.95,36.5,7.14,Medium,149.46,6.9
Tanker,Small,48.46,98.0,13.32,9.23,4.24,Low,47.41,5.0
Passenger,Small,45.06,89.0,7.05,17.33,4.29,Low,63.18,5.3
Cargo,Large,137.36,84.0,24.29,33.16,6.21,Medium,90.34,8.8
Container,Large,197.99,66.0,19.06,24.1,7.59,Medium,101.83,9.22
Cargo,Small,38.22,66.0,34.63,36.93,15.01,High,121.13,0.0
Container,Medium,87.4,62.0,1.28,48.06,2.95,Low,127.73,11.16
Passenger,Small,43.97,95.0,25.75,5.83,7.06,Medium,227.86,3.57
Tanker,Large,131.71,84.0,30.52,35.48,13.21,High,254.79,4.99
Tanker,Medium,58.59,88.0,30.38,11.52,7.3,Medium,154.44,6.66
Passenger,Small,25.56,61.0,35.44,20.72,10.75,Medium,453.65,4.68
Passenger,Small,48.06,99.0,29.16,1.64,13.44,Medium,276.57,3.33
Passenger,Small,48.59,93.0,37.11,6.8,18.15,High,393.74,1.13
Passenger,Medium,75.07,68.0,13.31,15.99,5.96,Medium,462.12,10.64
Cargo,Large,197.84,67.0,20.13,17.1,5.88,Medium,81.57,9.28
Cargo,Small,40.27,67.0,0.56,44.98,2.49,Low,213.94,6.76
Container,Large,162.88,72.0,0.28,37.09,1.89,Low,216.61,16.02
Passenger,Large,144.82,81.0,9.61,48.61,3.79,Medium,177.24,10.34
Tanker,Medium,85.03,77.0,4.03,29.95,2.97,Low,4.45,10.15
Container,Small,43.08,72.0,10.41,12.09,2.86,Low,407.99,8.83
Passenger,Small,36.08,84.0,7.08,16.38,4.22,Low,55.78,5.25
Container,Small,41.31,66.0,1.14,15.99,1.11,Low,497.74,10.29
Cargo,Large,138.71,72.0,36.37,16.32,10.7,Medium,386.48,11.05
Passenger,Medium,62.9,75.0,0.33,33.65,1.81,Low,290.01,13.23
Passenger,Medium,80.49,78.0,29.44,26.54,13.31,High,77.3,1.44
Passenger,Large,147.72,91.0,6.09,19.27,2.73,Low,257.7,16.41
Passenger,Medium,71.46,68.0,36.49,7.45,7.15,Medium,130.55,6.22
Container,Small,29.98,81.0,35.71,1.11,14.67,High,126.16,0.0
Tanker,Medium,87.96,84.0,26.16,10.94,6.52,Medium,414.76,9.57
Passenger,Large,188.76,62.0,26.89,5.37,4.84,Medium,190.32,10.37
Passenger,Small,49.4,84.0,0.21,39.27,2.04,Low,225.36,7.05
Cargo,Medium,69.92,67.0,39.39,5.62,5.65,Medium,421.48,9.17
Container,Small,46.07,63.0,35.11,36.21,18.96,High,43.9,0.0
Container,Small,48.42,98.0,35.8,19.28,13.6,High,297.31,0.44
Tanker,Medium,59.1,99.0,26.37,3.67,13.22,Medium,289.11,7.78
Tanker,Small,22.42,92.0,13.79,40.64,5.28,Medium,212.61,3.5
Passenger,Small,48.6,72.0,35.75,28.98,18.91,High,414.89,0.89
Container,Large,179.81,64.0,11.66,11.79,2.43,Low,471.45,18.45
Passenger,Medium,95.02,87.0,22.51,44.73,4.85,Medium,232.67,7.42
Cargo,Medium,97.14,78.0,3.99,2.26,0.56,Low,228.07,13.18
Passenger,Large,186.15,65.0,36.88,10.09,11.05,Medium,251.03,9.76
Cargo,Small,48.81,80.0,5.63,37.6,2.63,Low,361.56,8.12
Passenger,Large,188.79,61.0,9.0,35.47,4.52,Low,334.03,16.53
Passenger,Large,183.32,96.0,22.33,14.46,5.88,Medium,111.42,9.52
Tanker,Small,24.85,70.0,30.56,3.1,7.31,Medium,31.95,1.4
Passenger,Large,114.82,87.0,24.77,42.9,10.92,High,474.63,7.56
Container,Medium,61.47,72.0,9.29,15.68,2.32,Low,130.53,11.5
Passenger,Large,190.52,81.0,0.04,9.79,0.51,Low,319.3,17.74
Passenger,Large,145.34,82.0,30.29,25.8,11.37,High,414.22,6.97
Cargo,Medium,59.19,67.0,39.41,45.51,20.64,High,150.14,0.56
Tanker,Small,24.66,99.0,32.4,2.18,8.08,Medium,317.72,4.11
Container,Small,41.34,91.0,18.41,38.29,10.99,Medium,53.95,1.15
Container,Large,190.26,98.0,36.15,28.62,13.37,High,484.97,7.13
Tanker,Medium,69.91,96.0,16.39,21.27,9.08,Medium,29.08,5.74
Tanker,Medium,61.38,84.0,21.0,37.2,4.19,Medium,219.09,7.58
Passenger,Medium,58.05,97.0,19.09,48.29,9.88,Medium,268.41,7.38
Container,Large,167.08,64.0,17.9,11.46,8.21,Medium,395.24,12.41
Tanker,Large,167.38,68.0,31.01,7.18,4.12,Medium,60.56,8.9
Container,Medium,67.89,62.0,21.07,45.64,9.27,Medium,220.4,6.91
Cargo,Large,134.96,73.0,12.67,33.45,7.0,Medium,149.86,9.9
Cargo,Small,48.38,76.0,10.33,21.9,4.45,Low,156.01,5.96
Cargo,Small,37.46,71.0,1.51,28.66,1.62,Low,389.39,8.88
Cargo,Medium,85.66,93.0,23.33,37.28,10.67,Medium,2.73,4.65
Passenger,Large,148.91,74.0,9.2,38.65,3.08,Low,374.54,17.0
Cargo,Small,22.09,71.0,5.93,45.99,4.83,Medium,405.2,5.75
Passenger,Medium,79.29,82.0,26.15,21.34,4.13,Medium,450.68,9.96
Passenger,Large,168.97,66.0,27.25,14.67,4.96,Medium,313.44,11.38
Container,Medium,60.55,92.0,30.09,31.98,7.92,Medium,166.73,6.33
Passenger,Large,162.88,63.0,20.14,20.79,8.16,Medium,213.62,10.3
Container,Small,26.71,99.0,35.76,29.73,19.03,High,484.87,1.56
Passenger,Small,20.42,91.0,37.45,21.0,6.56,Medium,440.59,4.86
Cargo,Large,127.41,68.0,32.29,7.65,5.45,Medium,231.76,10.41
